rainTS,roofFlow,inflow,tankInflow,tankSpill,tankVolSim,demand,supply
0.7,35,0,0,0,2547.388,20.346,20.346
4.3,215,200,200,0,2727.042,20.346,20.346
0.3,15,15,15,0,2721.696,20.346,20.346
0,0,0,0,0,2701.35,20.346,20.346
6.7,335,285,285,0,2966.004,20.346,20.346
0.2,10,10,10,0,2955.658,20.346,20.346
0,0,0,0,0,2935.312,20.346,20.346
2.6,130,80,80,0,2994.966,20.346,20.346
0,0,0,0,0,2974.62,20.346,20.346
0,0,0,0,0,2954.274,20.346,20.346
0.4,20,0,0,0,2933.928,20.346,20.346
0,0,0,0,0,2913.582,20.346,20.346
0,0,0,0,0,2893.236,20.346,20.346
0,0,0,0,0,2872.89,20.346,20.346
0,0,0,0,0,2852.544,20.346,20.346
0.4,20,0,0,0,2832.198,20.346,20.346
7.6,380,350,188.147999999996,161.852000000004,3000,20.346,20.346
0.4,20,20,20,0,2999.654,20.346,20.346
1.8,90,90,20.692,69.308,3000,20.346,20.346
2.5,125,125,20.346,104.654,3000,20.346,20.346
0.1,5,5,5,0,2984.654,20.346,20.346
0.1,5,5,5,0,2943.443,46.211,46.211
0,0,0,0,0,2897.232,46.211,46.211
0,0,0,0,0,2851.021,46.211,46.211
0,0,0,0,0,2804.81,46.211,46.211
0,0,0,0,0,2758.599,46.211,46.211
0,0,0,0,0,2712.388,46.211,46.211
0,0,0,0,0,2666.177,46.211,46.211
0,0,0,0,0,2619.966,46.211,46.211
0,0,0,0,0,2573.755,46.211,46.211
0,0,0,0,0,2527.544,46.211,46.211
1.5,75,25,25,0,2506.333,46.211,46.211
2,100,100,100,0,2560.122,46.211,46.211
0.2,10,10,10,0,2523.911,46.211,46.211
0,0,0,0,0,2477.7,46.211,46.211
0,0,0,0,0,2431.489,46.211,46.211
0,0,0,0,0,2385.278,46.211,46.211
0,0,0,0,0,2339.067,46.211,46.211
0,0,0,0,0,2292.856,46.211,46.211
0,0,0,0,0,2246.645,46.211,46.211
0,0,0,0,0,2200.434,46.211,46.211
0,0,0,0,0,2145.17025,55.26375,55.26375
0.1,5,0,0,0,2098.95925,46.211,46.211
6.7,335,290,290,0,2342.74825,46.211,46.211
0.1,5,5,5,0,2301.53725,46.211,46.211
0,0,0,0,0,2255.32625000001,46.211,46.211
0,0,0,0,0,2209.11525000001,46.211,46.211
0,0,0,0,0,2162.90425000001,46.211,46.211
8.2,410,360,360,0,2476.69325000001,46.211,46.211
0.1,5,5,5,0,2435.48225000001,46.211,46.211
0,0,0,0,0,2389.27125000001,46.211,46.211
3.2,160,110,110,0,2453.06025000001,46.211,46.211
0.1,5,5,5,0,2368.98725000001,89.073,89.073
4.4,220,220,220,0,2499.91425000001,89.073,89.073
10.2,510,510,510,0,2920.84125000001,89.073,89.073
0.5,25,25,25,0,2856.76825000001,89.073,89.073
0,0,0,0,0,2767.69525000001,89.073,89.073
0,0,0,0,0,2678.62225000001,89.073,89.073
0,0,0,0,0,2589.54925000001,89.073,89.073
0,0,0,0,0,2500.47625000001,89.073,89.073
0,0,0,0,0,2411.40325000001,89.073,89.073
0,0,0,0,0,2322.33025000001,89.073,89.073
0,0,0,0,0,2233.25725000001,89.073,89.073
0,0,0,0,0,2144.18425000001,89.073,89.073
0,0,0,0,0,2055.11125000001,89.073,89.073
0,0,0,0,0,1966.03825000001,89.073,89.073
0,0,0,0,0,1876.96525000001,89.073,89.073
0,0,0,0,0,1787.89225000001,89.073,89.073
0,0,0,0,0,1698.81925000001,89.073,89.073
0,0,0,0,0,1609.74625000001,89.073,89.073
0,0,0,0,0,1520.67325000001,89.073,89.073
0,0,0,0,0,1431.60025000001,89.073,89.073
3.3,165,115,115,0,1457.52725000001,89.073,89.073
0,0,0,0,0,1368.45425000001,89.073,89.073
0,0,0,0,0,1279.38125000001,89.073,89.073
0,0,0,0,0,1190.30825000001,89.073,89.073
0,0,0,0,0,1101.23525000001,89.073,89.073
0,0,0,0,0,1012.16225000001,89.073,89.073
0,0,0,0,0,923.089250000007,89.073,89.073
0,0,0,0,0,834.016250000007,89.073,89.073
0,0,0,0,0,744.943250000007,89.073,89.073
0,0,0,0,0,655.870250000007,89.073,89.073
0,0,0,0,0,519.501250000007,136.369,136.369
0,0,0,0,0,383.132250000007,136.369,136.369
0,0,0,0,0,246.763250000007,136.369,136.369
0,0,0,0,0,110.394250000007,136.369,136.369
0,0,0,0,0,0,136.369,110.394250000007
0,0,0,0,0,0,136.369,0
0,0,0,0,0,0,136.369,0
0,0,0,0,0,0,136.369,0
0,0,0,0,0,0,136.369,0
0,0,0,0,0,0,136.369,0
0,0,0,0,0,0,136.369,0
0,0,0,0,0,0,136.369,0
0,0,0,0,0,0,167.96125,0
0,0,0,0,0,0,167.96125,0
1.5,75,25,25,0,0,136.369,25
0,0,0,0,0,0,136.369,0
0,0,0,0,0,0,136.369,0
0,0,0,0,0,0,136.369,0
0.2,10,0,0,0,0,167.96125,0
0.1,5,0,0,0,0,136.369,0
2.3,115,80,80,0,0,136.369,80
21.8,1090,1090,1090,0,953.631,136.369,136.369
1.5,75,75,75,0,892.262,136.369,136.369
0,0,0,0,0,755.893,136.369,136.369
0,0,0,0,0,619.524,136.369,136.369
0,0,0,0,0,483.155,136.369,136.369
0,0,0,0,0,346.786,136.369,136.369
0,0,0,0,0,210.417,136.369,136.369
0,0,0,0,0,42.4557499999997,167.96125,167.96125
0,0,0,0,0,0,167.96125,42.4557499999997
0,0,0,0,0,0,167.96125,0
0,0,0,0,0,0,221.53875,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,221.53875,0
0,0,0,0,0,0,221.53875,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
